rank,projection_tp,nested_cp,effective_head_tp,dp,batch_per_dp,context,cache_dtype,graph_ms,local_cache_bytes,correctness_max_abs,includes_query_exchange
0,16,1,16,1,1,1024,torch.bfloat16,0.012521600723266602,1179648,7.854588329792023e-05,True
0,16,1,16,1,8,1024,torch.bfloat16,0.012489599734544754,9437184,7.854588329792023e-05,True
0,16,1,16,1,32,1024,torch.bfloat16,0.01648160070180893,37748736,7.854588329792023e-05,True
0,16,1,16,1,1,8192,torch.bfloat16,0.014443199336528777,9437184,7.854588329792023e-05,True
0,16,1,16,1,8,8192,torch.bfloat16,0.020393599569797517,75497472,7.854588329792023e-05,True
0,16,1,16,1,32,8192,torch.bfloat16,0.06734079718589783,301989888,7.854588329792023e-05,True
0,16,1,16,1,1,32768,torch.bfloat16,0.026734399795532226,37748736,7.854588329792023e-05,True
0,16,1,16,1,8,32768,torch.bfloat16,0.06670079827308655,301989888,7.854588329792023e-05,True
0,16,1,16,1,32,32768,torch.bfloat16,0.2213792085647583,1207959552,7.854588329792023e-05,True
0,16,1,16,1,1,131072,torch.bfloat16,0.05386080145835877,150994944,7.854588329792023e-05,True
0,16,1,16,1,8,131072,torch.bfloat16,0.21626720428466797,1207959552,7.854588329792023e-05,True
0,16,1,16,1,32,131072,torch.bfloat16,0.8209615707397461,4831838208,7.854588329792023e-05,True
0,16,1,16,1,1,524288,torch.bfloat16,0.1391055941581726,603979776,7.854588329792023e-05,True
0,16,1,16,1,8,524288,torch.bfloat16,0.7860640048980713,4831838208,7.854588329792023e-05,True
0,16,1,16,1,32,524288,torch.bfloat16,3.26690559387207,19327352832,7.854588329792023e-05,True
0,16,1,16,1,1,1048576,torch.bfloat16,0.2535455942153931,1207959552,7.854588329792023e-05,True
0,16,1,16,1,8,1048576,torch.bfloat16,1.5676383972167969,9663676416,7.854588329792023e-05,True
0,16,1,16,1,32,1048576,torch.bfloat16,6.410318756103516,38654705664,7.854588329792023e-05,True
0,16,1,16,1,1,1024,torch.float8_e4m3fn,0.0124208003282547,589824,0.0008924617432057858,True
0,16,1,16,1,8,1024,torch.float8_e4m3fn,0.01241919994354248,4718592,0.0008924617432057858,True
0,16,1,16,1,32,1024,torch.float8_e4m3fn,0.014480000734329224,18874368,0.0008924617432057858,True
0,16,1,16,1,1,8192,torch.float8_e4m3fn,0.014475199580192565,4718592,0.0008924617432057858,True
0,16,1,16,1,8,8192,torch.float8_e4m3fn,0.016470399498939515,37748736,0.0008924617432057858,True
0,16,1,16,1,32,8192,torch.float8_e4m3fn,0.035227200388908385,150994944,0.0008924617432057858,True
0,16,1,16,1,1,32768,torch.float8_e4m3fn,0.02272319942712784,18874368,0.0008924617432057858,True
0,16,1,16,1,8,32768,torch.float8_e4m3fn,0.037099200487136844,150994944,0.0008924617432057858,True
0,16,1,16,1,32,32768,torch.float8_e4m3fn,0.10206559896469117,603979776,0.0008924617432057858,True
0,16,1,16,1,1,131072,torch.float8_e4m3fn,0.030910399556159974,75497472,0.0008924617432057858,True
0,16,1,16,1,8,131072,torch.float8_e4m3fn,0.1002959966659546,603979776,0.0008924617432057858,True
0,16,1,16,1,32,131072,torch.float8_e4m3fn,0.3663680076599121,2415919104,0.0008924617432057858,True
0,16,1,16,1,1,524288,torch.float8_e4m3fn,0.07539520263671876,301989888,0.0008924617432057858,True
0,16,1,16,1,8,524288,torch.float8_e4m3fn,0.34892799854278567,2415919104,0.0008924617432057858,True
0,16,1,16,1,32,524288,torch.float8_e4m3fn,1.4098239898681642,9663676416,0.0008924617432057858,True
0,16,1,16,1,1,1048576,torch.float8_e4m3fn,0.12748479843139648,603979776,0.0008924617432057858,True
0,16,1,16,1,8,1048576,torch.float8_e4m3fn,0.6792031764984131,4831838208,0.0008924617432057858,True
0,16,1,16,1,32,1048576,torch.float8_e4m3fn,2.8364864349365235,19327352832,0.0008924617432057858,True
0,16,2,8,1,1,1024,torch.bfloat16,0.052083200216293334,589824,0.00010277330875396729,True
0,16,2,8,1,8,1024,torch.bfloat16,0.05740320086479187,4718592,0.00010277330875396729,True
0,16,2,8,1,32,1024,torch.bfloat16,0.06352480053901673,18874368,0.00010277330875396729,True
