hardware,hbm_budget_gib,world,tp,dp,ep,ffn_tp,nested_cp,cache_dtype,context,weight_gib,allowance_gib,cache_state_per_request_gib,minimum_hbm_one_request_gib,requests_per_dp,cluster_requests,resident_tokens,implemented_mesh
GB200_measured,184.306640625,4,2,2,4,1,1,fp8_e4m3,524288,407.82124823331833,20,6.8605499267578125,434.68179816007614,0,0,0,True
GB200_measured,184.306640625,4,2,2,4,1,1,fp8_e4m3,1048576,407.82124823331833,20,13.610549926757812,441.43179816007614,0,0,0,True
GB200_measured,184.306640625,4,2,2,4,1,2,bfloat16,1024,407.82124823331833,20,0.1237335205078125,427.94498175382614,0,0,0,False
GB200_measured,184.306640625,4,2,2,4,1,2,bfloat16,8192,407.82124823331833,20,0.2160186767578125,428.03726691007614,0,0,0,False
GB200_measured,184.306640625,4,2,2,4,1,2,bfloat16,32768,407.82124823331833,20,0.5324249267578125,428.35367316007614,0,0,0,False
GB200_measured,184.306640625,4,2,2,4,1,2,bfloat16,131072,407.82124823331833,20,1.7980499267578125,429.61929816007614,0,0,0,False
GB200_measured,184.306640625,4,2,2,4,1,2,bfloat16,524288,407.82124823331833,20,6.8605499267578125,434.68179816007614,0,0,0,False
GB200_measured,184.306640625,4,2,2,4,1,2,bfloat16,1048576,407.82124823331833,20,13.610549926757812,441.43179816007614,0,0,0,False
GB200_measured,184.306640625,4,2,2,4,1,2,fp8_e4m3,1024,407.82124823331833,20,0.1171417236328125,427.93838995695114,0,0,0,False
GB200_measured,184.306640625,4,2,2,4,1,2,fp8_e4m3,8192,407.82124823331833,20,0.1632843017578125,427.98453253507614,0,0,0,False
GB200_measured,184.306640625,4,2,2,4,1,2,fp8_e4m3,32768,407.82124823331833,20,0.3214874267578125,428.14273566007614,0,0,0,False
GB200_measured,184.306640625,4,2,2,4,1,2,fp8_e4m3,131072,407.82124823331833,20,0.9542999267578125,428.77554816007614,0,0,0,False
