rank,ep,ffn_dp,total_tokens_per_ep,sources,local_rows,eager_ms,graph_ms,expert_max_mean_load,dynamic_peak_bytes,weights,input_distribution
3,16,1,16,4,4,0.9541135787963867,0.15349119901657104,21.0,234496,checkpoint layer 1,synthetic normal
3,16,1,16,8,2,1.0452688217163086,0.1479472041130066,24.499998092651367,117760,checkpoint layer 1,synthetic normal
3,16,1,16,16,1,0.9309184074401855,0.14633599519729615,24.499998092651367,59392,checkpoint layer 1,synthetic normal
3,16,1,128,4,32,0.8642704010009765,0.17278079986572265,14.437499046325684,1871872,checkpoint layer 1,synthetic normal
3,16,1,128,8,16,0.9286543846130371,0.20110878944396973,16.1875,935936,checkpoint layer 1,synthetic normal
3,16,1,128,16,8,1.1469311714172363,0.209335994720459,14.874999046325684,467968,checkpoint layer 1,synthetic normal
3,16,1,2048,4,512,0.814568042755127,0.6807055950164795,12.386717796325684,29949952,checkpoint layer 1,synthetic normal
3,16,1,2048,8,256,0.9162735939025879,0.5420623779296875,12.113280296325684,14974976,checkpoint layer 1,synthetic normal
3,16,1,2048,16,128,0.9076720237731933,0.2904864072799683,12.085936546325684,7487488,checkpoint layer 1,synthetic normal
3,16,1,8192,4,2048,2.4099615097045897,2.3928224563598635,12.872069358825684,119799808,checkpoint layer 1,synthetic normal
3,16,1,8192,8,1024,1.883844757080078,1.8603727340698242,12.530272483825684,59899904,checkpoint layer 1,synthetic normal
3,16,1,8192,16,512,0.9045040130615234,0.5954976081848145,12.523436546325684,29949952,checkpoint layer 1,synthetic normal
3,16,1,32768,16,2048,2.2027055740356447,2.147047996520996,12.533690452575684,119799808,checkpoint layer 1,synthetic normal
3,8,2,16,4,4,0.9102879524230957,0.17486079931259155,21.0,234496,checkpoint layer 1,synthetic normal
3,8,2,16,8,2,1.307487964630127,0.17126719951629638,24.499998092651367,117760,checkpoint layer 1,synthetic normal
3,8,2,128,4,32,0.8522800445556641,0.2588160037994385,14.437499046325684,1871872,checkpoint layer 1,synthetic normal
3,8,2,128,8,16,1.084545612335205,0.2517728090286255,16.1875,935936,checkpoint layer 1,synthetic normal
3,8,2,2048,4,512,0.9874943733215332,0.9591520309448243,12.386717796325684,29949952,checkpoint layer 1,synthetic normal
3,8,2,2048,8,256,0.7486815929412842,0.4285007953643799,12.113280296325684,14974976,checkpoint layer 1,synthetic normal
3,8,2,8192,4,2048,3.4948497772216798,3.480561447143555,12.872069358825684,119799808,checkpoint layer 1,synthetic normal
3,8,2,8192,8,1024,1.0286463737487792,1.0992527961730958,12.530272483825684,59899904,checkpoint layer 1,synthetic normal
3,4,4,16,4,4,0.7777391910552979,0.26491360664367675,21.0,234496,checkpoint layer 1,synthetic normal
3,4,4,128,4,32,0.8193360328674316,0.4319439888000488,14.437499046325684,1871872,checkpoint layer 1,synthetic normal
3,4,4,2048,4,512,0.895081615447998,0.8663135528564453,12.386717796325684,29949952,checkpoint layer 1,synthetic normal
3,4,4,8192,4,2048,2.2446687698364256,2.1794784545898436,12.872069358825684,119799808,checkpoint layer 1,synthetic normal
