rank,ep,ffn_dp,total_tokens_per_ep,sources,local_rows,eager_ms,graph_ms,expert_max_mean_load,dynamic_peak_bytes,weights,input_distribution
4,16,1,16,4,0,0.9529791831970215,0.15282080173492432,21.0,0,checkpoint layer 1,synthetic normal
4,16,1,16,8,2,1.0436240196228028,0.14748640060424806,24.499998092651367,117760,checkpoint layer 1,synthetic normal
4,16,1,16,16,1,0.9283840179443359,0.14615520238876342,24.499998092651367,59392,checkpoint layer 1,synthetic normal
4,16,1,128,4,0,0.8526384353637695,0.17264000177383423,14.437499046325684,0,checkpoint layer 1,synthetic normal
4,16,1,128,8,16,0.9297056198120117,0.20033280849456786,16.1875,935936,checkpoint layer 1,synthetic normal
4,16,1,128,16,8,1.1426704406738282,0.20940160751342773,14.874999046325684,467968,checkpoint layer 1,synthetic normal
4,16,1,2048,4,0,0.8133376121520997,0.6809232234954834,12.386717796325684,0,checkpoint layer 1,synthetic normal
4,16,1,2048,8,256,0.9157808303833008,0.542091178894043,12.113280296325684,14974976,checkpoint layer 1,synthetic normal
4,16,1,2048,16,128,0.9070207595825195,0.2904927968978882,12.085936546325684,7487488,checkpoint layer 1,synthetic normal
4,16,1,8192,4,0,2.409617614746094,2.3928560256958007,12.872069358825684,0,checkpoint layer 1,synthetic normal
4,16,1,8192,8,1024,1.8827648162841797,1.8602415084838868,12.530272483825684,59899904,checkpoint layer 1,synthetic normal
4,16,1,8192,16,512,0.9040384292602539,0.594652795791626,12.523436546325684,29949952,checkpoint layer 1,synthetic normal
4,16,1,32768,16,2048,2.2027776718139647,2.1476640701293945,12.533690452575684,119799808,checkpoint layer 1,synthetic normal
4,8,2,16,4,0,0.9089887619018555,0.17461919784545898,21.0,0,checkpoint layer 1,synthetic normal
4,8,2,16,8,2,1.3047920227050782,0.17141120433807372,24.499998092651367,117760,checkpoint layer 1,synthetic normal
4,8,2,128,4,0,0.8520879745483398,0.25887041091918944,14.437499046325684,0,checkpoint layer 1,synthetic normal
4,8,2,128,8,16,1.0857232093811036,0.2517103910446167,16.1875,935936,checkpoint layer 1,synthetic normal
4,8,2,2048,4,0,0.9860287666320801,0.9591008186340332,12.386717796325684,0,checkpoint layer 1,synthetic normal
4,8,2,2048,8,256,0.7483920097351074,0.42848958969116213,12.113280296325684,14974976,checkpoint layer 1,synthetic normal
4,8,2,8192,4,0,3.4935375213623048,3.479471969604492,12.872069358825684,0,checkpoint layer 1,synthetic normal
4,8,2,8192,8,1024,1.0282464027404785,1.0985440254211425,12.530272483825684,59899904,checkpoint layer 1,synthetic normal
4,4,4,16,4,4,1.1899215698242187,0.2661007881164551,21.0,234496,checkpoint layer 1,synthetic normal
4,4,4,128,4,32,0.9053024291992188,0.4330880165100098,14.437499046325684,1871872,checkpoint layer 1,synthetic normal
4,4,4,2048,4,512,0.8920576095581054,0.8658063888549805,12.386717796325684,29949952,checkpoint layer 1,synthetic normal
4,4,4,8192,4,2048,2.063801574707031,1.9935312271118164,12.872069358825684,119799808,checkpoint layer 1,synthetic normal
